Original,Closest Match,Similarity Ratio
Salammbo Battle for Carthage,Salammbô: Battle for Carthage,0.95
Sam   Max 103 The Mole  the Mob and the Meatball,,0.0
Sam   Max 105 Reality 2 0,,0.0
Sam   Max 106 Bright Side of the Moon,,0.0
Sam   Max 201 Ice Station Santa,,0.0
Sam   Max 202 Moai Better Blues,,0.0
Sam   Max 203 Night of the Raving Dead,Sam & Max Hit the Road,0.63
Sam   Max 204 Chariots of the Dogs,Sam & Max Hit the Road,0.61
Sam   Max 205 What s New Beelzebub ,,0.0
Sam   Max 301 The Penal Zone,,0.0
Sam   Max 302 The Tomb of Sammun Mak,,0.0
Sam   Max 303 They Stole Max s Brain ,,0.0
Sam   Max 304 Beyond the Alley of the Dolls,,0.0
Sam   Max 305 The City that Dares not Sleep,,0.0
SolForge,ShotForge,0.82
Steel Storm Burning Retribution,Steel Storm: Burning Retribution,0.98
Stick It To The Man ,Stick it to The Man!,0.85
Talisman Prologue,Talisman: Prologue,0.97
Teleglitch Die More Edition,Teleglitch: Die More Edition,0.98
Ticket to Ride   Europe,Ticket to Ride,0.76
Ticket to Ride   USA 1910,Ticket to Ride,0.72
S K I L L    Special Force 2,S.K.I.L.L. - Special Force 2 (Shooter),0.55
The Elder Scrolls IV Oblivion ,The Elder Scrolls® Online,0.8
Assassin s Creed Brotherhood,Assassin’s Creed® Brotherhood,0.95
The Elder Scrolls III Morrowind,The Elder Scrolls V: Skyrim,0.72
Bookworm Adventures Deluxe,Pac Adventures 3D,0.6
FlatOut Ultimate Carnage,FlatOut: Ultimate Carnage,0.98
Chivalry Medieval Warfare,Chivalry: Medieval Warfare,0.98
Ghost Master,Ghost Master®,0.96
Peggle Nights,Peggle™ Nights,0.96
Sherlock Holmes Nemesis,Sherlock Holmes - Nemesis,0.96
Bejeweled 3,Bejeweled® 3,0.96
The Movies,The Miners,0.8
The Walking Dead,The Walking Vegetables,0.74
Bully Scholarship Edition,Bully: Scholarship Edition,0.98
Indigo Prophecy,Hydrophobia: Prophecy,0.61
The Secret of Monkey Island Special Edition,The Secret of Monkey Island: Special Edition,0.99
Deponia The Complete Journey,Deponia: The Complete Journey,0.98
Tales of Monkey Island Chapter 1   Launch of the Screaming Narwhal,,0.0
DiRT 2,DiRT 4,0.83
Monkey Island 2 Special Edition,The Secret of Monkey Island: Special Edition,0.77
4 Elements,Element,0.82
Cryostasis,Crysis,0.75
TrackMania Stadium,TrackMania² Stadium,0.97
Aura Fate of the Ages,Aura: Fate of the Ages,0.98
Eets,Elems,0.67
Trials 2 Second Edition,Trials 2: Second Edition,0.98
Grim Legends The Forsaken Bride,Grim Legends: The Forsaken Bride,0.98
Nightmares from the Deep 2 The Siren s Call,Nightmares from the Deep 2: The Siren`s Call,0.97
Tales of Monkey Island Chapter 2   The Siege of Spinner Cay ,,0.0
Abyss The Wraiths of Eden,Abyss: The Wraiths of Eden,0.98
Tales of Monkey Island Chapter 3   Lair of the Leviathan ,,0.0
Singularity,Singularity™,0.96
Poker Night at the Inventory,,0.0
Penumbra Black Plague,Penumbra: Black Plague Gold Edition,0.75
Cargo    The quest for gravity,Cargo! The Quest for Gravity,0.86
Rocketbirds Hardboiled Chicken,Rocketbirds: Hardboiled Chicken,0.98
Nightmares from the Deep The Cursed Heart,Nightmares from the Deep: The Cursed Heart,0.99
Alchemy Mysteries Prague Legends,Alchemy Mysteries: Prague Legends,0.98
Clockwork Tales Of Glass and Ink,Clockwork Tales: Of Glass and Ink,0.98
CID The Dummy,Crash Dummy,0.67
Tales of Monkey Island Chapter 4   The Trial and Execution of Guybrush Threepwood ,,0.0
9 Clues The Secret of Serpent Creek,9 Clues: The Secret of Serpent Creek,0.99
Wallace   Gromit Ep 1 Fright of the Bumblebees,,0.0
Plants vs  Zombies Game of the Year,Plants vs. Zombies GOTY Edition,0.64
Tales of Monkey Island Chapter 5   Rise of the Pirate God,,0.0
Sam   Max 104 Abe Lincoln Must Die ,,0.0
Ben There  Dan That ,,0.0
Hector Ep 1,Sector 177,0.67
Octodad Dadliest Catch,Octodad: Dadliest Catch,0.98
TRAUMA,RAMS,0.6
Trials Evolution Gold Edition,Trials Evolution: Gold Edition,0.98
Penumbra Requiem,Penumbra Overture,0.73
Just Cause 2 Multiplayer Mod,Just Cause 2: Multiplayer Mod,0.98
Blocks That Matter,BattleBlock Theater®,0.63
Time Gentlemen  Please ,,0.0
Trine 2,Trino,0.67
Blur,Burst,0.67
LEGO Worlds,LEGO® Worlds,0.96
FORCED,RED,0.67
Hydrophobia Prophecy,Hydrophobia: Prophecy,0.98
Gravilon,Travildorn,0.78
The Path   Prologue,The Path of Motus,0.67
Sid Meier s Civilization IV,Sid Meier's Civilization® IV,0.95
The Movies Stunts and Effects,,0.0
Prince of Persia,Prince of Persia®,0.97
Blue Toad Murder Files   The Mysteries of Little Riddle,Blue Toad Murder Files™: The Mysteries of Little Riddle,0.96
7 Grand Steps  Step 1 What Ancients Begat,7 Grand Steps: What Ancients Begat,0.88
Afterfall InSanity Extended Edition,Anna - Extended Edition,0.69
AirBuccaneers,Arcane Worlds,0.62
Aliens vs  Predator,Aliens vs. Predator™,0.92
Borderlands 2 Headhunter 1 Bloody Harvest,,0.0
Borderlands 2 Headhunter 2 Wattle Gobbler,,0.0
Borderlands 2 Headhunter 3 Mercenary Day,,0.0
Borderlands 2 Headhunter 4 Wedding Day Massacre,,0.0
Borderlands 2 Headhunter 5 Son of Crawmerax,,0.0
Brtal Legend,Brutal Legend,0.96
Chucks Challenge 3D,Chuck's Challenge 3D,0.97
Crash Time II,Crash Time 3,0.88
Darksiders II,Darksiders III,0.96
Depth Hunter 2 Deep Dive,Depth Hunter 2: Deep Dive,0.98
Dogfight 1942 Fire over Africa,Dogfight 1942,0.6
Dogfight 1942 Russia under Siege,,0.0
Dr  Langeskov  The Tiger  and The Terribly Cursed Emerald A Whirlwind Heist,"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",0.95
Dreamfall The Longest Journey,Dreamfall: The Longest Journey,0.98
Driver San Francisco,Drive on Moscow,0.63
Forge,Forager,0.83
Gravi,Gravel,0.73
